Airport_ID_start,Airport_ID_end,Route_ID
MCO,MCN,MCO-MCN
MCO,MHH,MCO-MHH
MCO,PNS,MCO-PNS
MCO,RSW,MCO-RSW
MCO,TLH,MCO-TLH
MEI,ATL,MEI-ATL
MHH,FLL,MHH-FLL
MHH,JAX,MHH-JAX
MHH,MCO,MHH-MCO
MHH,PBI,MHH-PBI
MSL,ATL,MSL-ATL
PBI,ELH,PBI-ELH
PBI,MHH,PBI-MHH
PBI,TPA,PBI-TPA
PIB,ATL,PIB-ATL
PNS,MCO,PNS-MCO
PNS,TPA,PNS-TPA
RSW,EYW,RSW-EYW
RSW,MCO,RSW-MCO
TCB,FLL,TCB-FLL
TLH,MCO,TLH-MCO
TLH,TPA,TLH-TPA
TPA,EYW,TPA-EYW
TPA,FLL,TPA-FLL
TPA,GNV,TPA-GNV
TPA,JAX,TPA-JAX
TPA,PBI,TPA-PBI
TPA,PNS,TPA-PNS
TPA,TLH,TPA-TLH
TUP,ATL,TUP-ATL
TUP,GLH,TUP-GLH
AMS,NDR,AMS-NDR
AMS,TNG,AMS-TNG
BCN,CMN,BCN-CMN
BCN,NDR,BCN-NDR
BCN,TNG,BCN-TNG
BGY,CMN,BGY-CMN
BLQ,CMN,BLQ-CMN
BRU,CMN,BRU-CMN
BRU,NDR,BRU-NDR
BRU,TNG,BRU-TNG
CGN,NDR,CGN-NDR
CMN,BCN,CMN-BCN
CMN,BGY,CMN-BGY
CMN,BLQ,CMN-BLQ
CMN,BRU,CMN-BRU
CMN,CUF,CMN-CUF
CMN,LGW,CMN-LGW
CMN,LYS,CMN-LYS
CMN,MPL,CMN-MPL
CMN,SAW,CMN-SAW
CMN,TLS,CMN-TLS
CMN,TSF,CMN-TSF
CUF,CMN,CUF-CMN
FEZ,MPL,FEZ-MPL
LGW,CMN,LGW-CMN
LGW,TNG,LGW-TNG
LYS,CMN,LYS-CMN
MPL,CMN,MPL-CMN
MPL,FEZ,MPL-FEZ
MPL,NDR,MPL-NDR
NDR,AMS,NDR-AMS
NDR,BCN,NDR-BCN
NDR,BRU,NDR-BRU
NDR,CGN,NDR-CGN
NDR,MPL,NDR-MPL
NDR,PMI,NDR-PMI
PMI,NDR,PMI-NDR
SAW,CMN,SAW-CMN
TLS,CMN,TLS-CMN
TNG,AMS,TNG-AMS
TNG,BCN,TNG-BCN
TNG,BRU,TNG-BRU
TNG,LGW,TNG-LGW
TSF,CMN,TSF-CMN
BHY,XIY,BHY-XIY
CAN,CKG,CAN-CKG
CAN,CTU,CAN-CTU
CGO,CGQ,CGO-CGQ
CGO,CKG,CGO-CKG
