Airport_ID,Name,Country_ID,geom
CBB,Jorge Wilsterman International Airport,Bolivia,01010000C0000000A0558B50C000000040CD6B31C0000000000054C0400000000000000000
CCA,Chimore Airport,Bolivia,01010000C006D671FC504950C0F19E03CB11FA30C00000000000588B400000000000000000
CIJ,Capitán Aníbal Arab Airport,Bolivia,01010000C0E6F2FF9F1C3251C079120040AF1426C00000000000C88B400000000000000000
LPB,El Alto International Airport,Bolivia,01010000C0000000A04E0C51C0000000A0678330C0000000008015CA400000000000000000
ORU,Juan Mendoza Airport,Bolivia,01010000C003060080E0C450C069F7FFFF6CF631C00000000000BCC7400000000000000000
POI,Capitan Nicolas Rojas Airport,Bolivia,01010000C0880D0020516E50C0BF3000A0088B33C0000000008038C9400000000000000000
PSZ,Capitán Av. Salvador Ogaya G. airport,Bolivia,01010000C0AE10566309E94CC090C18A53ADF932C00000000000807B400000000000000000
SBL,Santa Ana Del Yacuma Airport,Bolivia,01010000C054F3FF5FDA5B50C080BEFF1F3F862BC00000000000807D400000000000000000
SRE,Juana Azurduy De Padilla Airport,Bolivia,01010000C0000000007A5250C000000040D10133C00000000000A2C2400000000000000000
TJA,Capitan Oriel Lea Plaza Airport,Bolivia,01010000C011FEFF1FE22C50C096E5FF5F428E35C00000000000BFB7400000000000000000
TDD,Teniente Av. Jorge Henrich Arauz Airport,Bolivia,01010000C003060080C03A50C0EDBBFF9F2CA32DC00000000000D07F400000000000000000
VLM,Teniente Coronel Rafael Pabón Airport,Bolivia,01010000C0541300C0EAB34FC0A31D00C0544135C000000000006494400000000000000000
VVI,Viru Viru International Airport,Bolivia,01010000C09F7422C154914FC0F775E09C11A531C000000000002093400000000000000000
BYC,Yacuiba Airport,Bolivia,01010000C0000000E06AD34FC000000080FDF535C0000000000080A0400000000000000000
PBM,Johan Adolf Pengel International Airport,Suriname,01010000C0CE0800E009984BC0150400A0B2CF15400000000000804D400000000000000000
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,Peru,01010000C068F4FFBFDC1D53C04BFDFF5F795E06C00000000000C086400000000000000000
IBP,Iberia Airport,Peru,01010000C0000000E0465F51C001000040BDD226C000000000007087400000000000000000
PCL,Cap FAP David Abenzur Rengifo International Airport,Peru,01010000C000000060C1A452C00000006081C120C000000000000880400000000000000000
CHM,Teniente FAP Jaime A De Montreuil Morales Airport,Peru,01010000C00000000086A153C0000000A0994C22C000000000004051400000000000000000
CIX,Capitan FAP Jose A Quinones Gonzales International Airport,Peru,01010000C0000000A0FFF453C00000002061261BC000000000004058400000000000000000
AYP,Coronel FAP Alfredo Mendivil Duarte Airport,Peru,01010000C0000000E0148D52C000000000424F2AC000000000806AC1400000000000000000
ANS,Andahuaylas Airport,Peru,01010000C0000000006D5652C001000040AD692BC0000000000012C6400000000000000000
ATA,Comandante FAP German Arias Graziani Airport,Peru,01010000C0000000204C6653C0000000A0E3B122C00000000080C4C1400000000000000000
LIM,Jorge Chávez International Airport,Peru,01010000C03C31EBC5504753C097900F7A360B28C00000000000405C400000000000000000
JJI,Juanjui Airport,Peru,01010000C000000060A12E53C00000008028AD1CC00000000000F091400000000000000000
JAU,Francisco Carle Airport,Peru,01010000C0610800204CDE52C08D390080F29027C000000000008DC5400000000000000000
JUL,Inca Manco Capac International Airport,Peru,01010000C000000000208A51C0FFFFFFBF27EF2EC0000000000084C8400000000000000000
ILQ,Ilo Airport,Peru,01010000C00000002004D651C000000080EBB131C000000000000052400000000000000000
TBP,Capitan FAP Pedro Canga Rodriguez Airport,Peru,01010000C0000000E0681854C0000000E0946B0CC00000000000C05C400000000000000000
YMS,Moises Benzaquen Rengifo Airport,Peru,01010000C0000000A0900753C000000080389317C000000000005882400000000000000000
CHH,Chachapoyas Airport,Peru,01010000C000000060CA7653C000000040A7CE18C0000000008046C0400000000000000000
IQT,Coronel FAP Francisco Secada Vignetta International Airport,Peru,01010000C000000060C35352C0000000C025470EC000000000002073400000000000000000
AQP,Rodríguez Ballón International Airport,Peru,01010000C08DF6FF7F51E551C019CAFF5F525730C000000000806AC0400000000000000000
TRU,Capitan FAP Carlos Martinez De Pinillos International Airport,Peru,01010000C0000000A0F6C653C0000000A0AE2920C00000000000805A400000000000000000
PIO,Capitán FAP Renán Elías Olivera International Airport,Peru,01010000C000000060190E53C000000080637D2BC000000000008043400000000000000000
TPP,Cadete FAP Guillermo Del Castillo Paredes Airport,Peru,01010000C000000080E21753C000000020F3081AC00000000000288B400000000000000000
TCQ,Coronel FAP Carlos Ciriani Santa Rosa International Airport,Peru,01010000C0B6FEFFBFA69151C0AECFFF1FA50D32C000000000000898400000000000000000
PEM,Padre Aldamiz International Airport,Peru,01010000C00CF5FF5FA14E51C053D0FFBF293A29C000000000009884400000000000000000
PIU,Capitán FAP Guillermo Concha Iberico International Airport,Peru,01010000C0170A0020732754C0FF110020B0D214C00000000000005E400000000000000000
TYL,Capitan Montes Airport,Peru,01010000C0ECFFFF1F435054C0320000C07A4E12C00000000000A071400000000000000000
CUZ,Alejandro Velasco Astete International Airport,Peru,01010000C02908004015FC51C03157004047122BC0000000000036C5400000000000000000
DZO,Santa Bernardina International Airport,Uruguay,01010000C0000000C0E53F4CC000000060F0AD40C000000000001073400000000000000000
MVD,Carrasco International /General C L Berisso Airport,Uruguay,01010000C0C05B2041F1034CC05473B9C1506B41C00000000000405A400000000000000000
STY,Nueva Hesperides International Airport,Uruguay,01010000C0000000401EFE4CC00100008041703FC000000000006067400000000000000000
AGV,Oswaldo Guevara Mujica Airport,Venezuela,01010000C000000040394F51C0FFFFFFFF531B234000000000000084400000000000000000
AAO,Anaco Airport,Venezuela,01010000C000000060201E50C0FFFFFF7F46DC224000000000008886400000000000000000
BLA,General José Antonio Anzoategui International Airport,Venezuela,01010000C097E4805D4D2C50C0A3737E8AE33824400000000000003E400000000000000000
BNS,Barinas Airport,Venezuela,01010000C0C4E21EE8B48D51C07B14AE47E13A214000000000003883400000000000000000
BRM,Barquisimeto International Airport,Venezuela,01010000C0000000A0F35651C0FFFFFFDFE21524400000000000E89F400000000000000000
CBL,"Aeropuerto '"General Tomas de Heres'". Ciudad Bolivar",Venezuela,01010000C0D9FAFFFFBAC44FC0DFFFFFDF8B3E20400000000000A068400000000000000000
CXA,Caicara del Orinoco Airport,Venezuela,01010000C0000000606B8A50C0000000C085801E400000000000A061400000000000000000
CLZ,Calabozo Airport,Venezuela,01010000C0000000A0B1DA50C0000000806CD9214000000000008074400000000000000000
CAJ,Canaima Airport,Venezuela,01010000C0000000005E6D4FC0000000808EED18400000000000A896400000000000000000
VCR,Carora Airport,Venezuela,01010000C0000000802C8451C0000000A0E859244000000000007496400000000000000000
CUP,General Francisco Bermúdez Airport,Venezuela,01010000C0000000C07EA14FC000000060ED51254000000000008040400000000000000000
CZE,José Leonardo Chirinos Airport,Venezuela,01010000C0000000E0936B51C00000008073D426400000000000004A400000000000000000
CUM,Cumaná (Antonio José de Sucre) Airport,Venezuela,01010000C0000000A0590850C00000000092E624400000000000002C400000000000000000
EOR,El Dorado Airport,Venezuela,01010000C0000000A0AACA4EC0000000E0EEEE1A400000000000E073400000000000000000
EOZ,Elorza Airport,Venezuela,01010000C000000020226251C00100004055551C4000000000007072400000000000000000
GDO,Guasdalito Airport,Venezuela,01010000C00000004033B351C0000000E0EEEE1C400000000000A07A400000000000000000
GUI,Guiria Airport,Venezuela,01010000C02B0B008005284FC06CFDFF7FED25254000000000000045400000000000000000
GUQ,Guanare Airport,Venezuela,01010000C000000060547051C0000000A0CB0D22400000000000F082400000000000000000
HGE,Higuerote Airport,Venezuela,01010000C05BB05417F08550C028806264C9EC244000000000000028400000000000000000
ICC,Andrés Miguel Salazar Marcano Airport,Venezuela,01010000C0520ABABDA4FD4FC0B0CA85CABF96254000000000000024400000000000000000
LSP,Josefa Camejo International Airport,Venezuela,01010000C000000020B28951C0000000C0C18F27400000000000C052400000000000000000
LFR,La Fria Airport,Venezuela,01010000C000000080581152C000000020747A204000000000001073400000000000000000
MAR,La Chinita International Airport,Venezuela,01010000C02908004095EE51C066340080CD1D25400000000000E06D400000000000000000
MRD,Alberto Carnevalli Airport,Venezuela,01010000C02B14E97E4ECA51C03271AB20062A214000000000008FB3400000000000000000
PMV,Del Caribe Santiago Mariño International Airport,Venezuela,01010000C000000080B9FB4FC0000000C040D3254000000000008052400000000000000000
CCS,Simón Bolívar International Airport,Venezuela,01010000C0D844662E70BF50C0541A31B3CF3325400000000000406D400000000000000000
MUN,Maturín Airport,Venezuela,01010000C000000000DE924FC0000000C0518223400000000000006C400000000000000000
PYH,Cacique Aramare Airport,Venezuela,01010000C0F9FFFF5FCAE650C02D0000A0DE7A16400000000000A06E400000000000000000
PBL,General Bartolome Salom International Airport,Venezuela,01010000C000000000AC0451C0FFFFFF1F04F6244000000000000040400000000000000000
SCI,Paramillo Airport,Venezuela,01010000C000000060FC0C52C0000000408D341F400000000000E4A9400000000000000000
PZO,General Manuel Carlos Piar International Airport,Venezuela,01010000C0000000C054614FC000000040BA9320400000000000807D400000000000000000
PTM,Palmarito Airport,Venezuela,01010000C000000020BB8B51C00000002045441E400000000000B075400000000000000000
