Route_ID,Airport_ID_start,Airport_ID_end,geom
MNL-CRM,MNL,CRM,01020000000200000029417FA147415E40BF7D1D3867042D4000000040B4285F40010000A03A012940
MNL-DGT,MNL,DGT,01020000000200000029417FA147415E40BF7D1D3867042D409242004033D35E40DF060000DCAA2240
MNL-DWC,MNL,DWC,01020000000200000029417FA147415E40BF7D1D3867042D4092770E65A8944B40C992399677E53840
MNL-GES,MNL,GES,01020000000200000029417FA147415E40BF7D1D3867042D40B395FFDF24465F40A2080060643B1840
MNL-KLO,MNL,KLO,01020000000200000029417FA147415E40BF7D1D3867042D40F956006010985E405BBCFF5FDA5B2740
MNL-LGP,MNL,LGP,01020000000200000029417FA147415E40BF7D1D3867042D40D7A3703D0AEF5E40713D0AD7A3502A40
MNL-MPH,MNL,MPH,01020000000200000029417FA147415E40BF7D1D3867042D406494675E0E7D5E40D34D621058D92740
MNL-OZC,MNL,OZC,01020000000200000029417FA147415E40BF7D1D3867042D4000000060E3F55E40000000A0655B2040
MNL-PPS,MNL,PPS,01020000000200000029417FA147415E40BF7D1D3867042D400000008093B05D4000000020F77B2340
MNL-RXS,MNL,RXS,01020000000200000029417FA147415E40BF7D1D3867042D40010000C020B05E40010000C005322740
MNL-SUG,MNL,SUG,01020000000200000029417FA147415E40BF7D1D3867042D408F8700D8C75E5F40DA49B33DFD822340
MNL-TUG,MNL,TUG,01020000000200000029417FA147415E40BF7D1D3867042D4025CFFFEFEB6E5E4025C892BEB3A43140
MNL-ZAM,MNL,ZAM,01020000000200000029417FA147415E40BF7D1D3867042D4001000000D7835E40000000E08EB01B40
MPH-MNL,MPH,MNL,0102000000020000006494675E0E7D5E40D34D621058D9274029417FA147415E40BF7D1D3867042D40
OZC-MNL,OZC,MNL,01020000000200000000000060E3F55E40000000A0655B204029417FA147415E40BF7D1D3867042D40
PPS-MNL,PPS,MNL,0102000000020000000000008093B05D4000000020F77B234029417FA147415E40BF7D1D3867042D40
RXS-MNL,RXS,MNL,010200000002000000010000C020B05E40010000C00532274029417FA147415E40BF7D1D3867042D40
SUG-MNL,SUG,MNL,0102000000020000008F8700D8C75E5F40DA49B33DFD82234029417FA147415E40BF7D1D3867042D40
TUG-MNL,TUG,MNL,01020000000200000025CFFFEFEB6E5E4025C892BEB3A4314029417FA147415E40BF7D1D3867042D40
